,cores,l1d_size,l1d_assoc,l2_size,l2_assoc,sim_name,sim_ticks
633,2,64,4,512,4,raytrace,641880017
634,2,64,4,512,8,cholesky,2.20766E+11
1072,4,32,32,256,2,fft,1121912671
636,2,64,4,512,8,fmm,53907175946
637,2,64,4,512,8,lu,1.23759E+11
638,2,64,4,512,8,ocean,42704185796
639,2,64,4,512,8,radix,77437346039
640,2,64,4,512,8,raytrace,641880017
641,2,64,8,512,16,cholesky,2.21428E+11
1030,4,32,2,256,16,fft,1122096041
643,2,64,8,512,16,fmm,53884451402
644,2,64,8,512,16,lu,1.2404E+11
645,2,64,8,512,16,ocean,42708915075
646,2,64,8,512,16,radix,77462332702
647,2,64,8,512,16,raytrace,642005042
648,2,64,8,512,2,cholesky,2.19333E+11
1044,4,32,2,256,32,fft,1122096041
650,2,64,8,512,2,fmm,54379213668
651,2,64,8,512,2,lu,1.21219E+11
652,2,64,8,512,2,ocean,44631641210
653,2,64,8,512,2,radix,77104456141
654,2,64,8,512,2,raytrace,642005042
655,2,64,8,512,32,cholesky,2.21583E+11
1051,4,32,2,256,4,fft,1122096041
657,2,64,8,512,32,fmm,53863027118
658,2,64,8,512,32,lu,1.24154E+11
659,2,64,8,512,32,ocean,42647319425
660,2,64,8,512,32,radix,77500028573
661,2,64,8,512,32,raytrace,642005042
662,2,64,8,512,4,cholesky,2.19774E+11
1058,4,32,2,256,8,fft,1122096041
664,2,64,8,512,4,fmm,53901478140
665,2,64,8,512,4,lu,1.22999E+11
666,2,64,8,512,4,ocean,43466561574
667,2,64,8,512,4,radix,77383601959
668,2,64,8,512,4,raytrace,642005042
669,2,64,8,512,8,cholesky,2.20662E+11
1037,4,32,2,256,2,fft,1122182725
671,2,64,8,512,8,fmm,53888485542
672,2,64,8,512,8,lu,1.23746E+11
673,2,64,8,512,8,ocean,42904630877
674,2,64,8,512,8,radix,77426313833
675,2,64,8,512,8,raytrace,642005042
676,32,4,16,32,16,cholesky,1.52424E+11
677,32,4,16,32,16,lu,61967090000
678,32,4,16,32,16,ocean,24222277500
679,32,4,16,32,16,radix,8404143750
680,32,4,16,32,16,raytrace,596320000
681,32,4,16,32,2,cholesky,1.46889E+11
890,4,16,32,512,16,fft,1122501122
683,32,4,16,32,2,lu,61729043750
684,32,4,16,32,2,ocean,24476166250
685,32,4,16,32,2,radix,8419241250
686,32,4,16,32,2,raytrace,596320000
687,32,4,16,32,32,cholesky,1.52887E+11
897,4,16,32,512,2,fft,1122501122
689,32,4,16,32,32,lu,62005778750
690,32,4,16,32,32,ocean,24160181250
691,32,4,16,32,32,radix,8396678750
692,32,4,16,32,32,raytrace,596320000
693,32,4,16,32,4,cholesky,1.47822E+11
694,32,4,16,32,4,lu,61897660000
695,32,4,16,32,4,ocean,24455270000
696,32,4,16,32,4,radix,8393730000
697,32,4,16,32,4,raytrace,596320000
698,32,4,16,32,8,cholesky,1.49415E+11
904,4,16,32,512,32,fft,1122501122
700,32,4,16,32,8,lu,61957687500
701,32,4,16,32,8,ocean,24437323750
702,32,4,16,32,8,radix,8391888750
703,32,4,16,32,8,raytrace,596320000
704,32,4,2,32,16,cholesky,1.46745E+11
911,4,16,32,512,4,fft,1122501122
706,32,4,2,32,16,lu,50162647678
707,32,4,2,32,16,ocean,22934285231
708,32,4,2,32,16,radix,7790881945
709,32,4,2,32,16,raytrace,583613855
710,32,4,2,32,2,cholesky,1.41943E+11
918,4,16,32,512,8,fft,1122501122
712,32,4,2,32,2,lu,50057515970
713,32,4,2,32,2,ocean,23162746827
714,32,4,2,32,2,radix,7827602717
715,32,4,2,32,2,raytrace,583613855
716,32,4,2,32,32,cholesky,1.48532E+11
960,4,16,8,512,16,fft,1124908270
718,32,4,2,32,32,lu,50273287724
719,32,4,2,32,32,ocean,22916835865
720,32,4,2,32,32,radix,7825000755
721,32,4,2,32,32,raytrace,589449938
722,32,4,2,32,4,cholesky,1.42812E+11
967,4,16,8,512,2,fft,1124908270
724,32,4,2,32,4,lu,50073963214
725,32,4,2,32,4,ocean,23145817409
726,32,4,2,32,4,radix,7805049417
727,32,4,2,32,4,raytrace,583613855
728,32,4,2,32,8,cholesky,1.43916E+11
974,4,16,8,512,32,fft,1124908270
730,32,4,2,32,8,lu,50128376661
731,32,4,2,32,8,ocean,23134301894
732,32,4,2,32,8,radix,7791075259
733,32,4,2,32,8,raytrace,583613855
734,32,4,32,32,16,cholesky,1.51947E+11
981,4,16,8,512,4,fft,1124908270
736,32,4,32,32,16,lu,68388492500
737,32,4,32,32,16,ocean,24246712500
738,32,4,32,32,16,radix,8392463750
739,32,4,32,32,16,raytrace,596551250
740,32,4,32,32,2,cholesky,1.46408E+11
988,4,16,8,512,8,fft,1124908270
742,32,4,32,32,2,lu,68216160000
743,32,4,32,32,2,ocean,24494875000
744,32,4,32,32,2,radix,8416486250
745,32,4,32,32,2,raytrace,596551250
746,32,4,32,32,32,cholesky,1.52283E+11
820,4,16,16,512,16,fft,1124961614
748,32,4,32,32,32,lu,68387423750
749,32,4,32,32,32,ocean,24183648750
750,32,4,32,32,32,radix,8400310000
751,32,4,32,32,32,raytrace,596551250
752,32,4,32,32,4,cholesky,1.47629E+11
827,4,16,16,512,2,fft,1124961614
754,32,4,32,32,4,lu,68321575000
755,32,4,32,32,4,ocean,24487617500
756,32,4,32,32,4,radix,8395685000
757,32,4,32,32,4,raytrace,596551250
758,32,4,32,32,8,cholesky,1.48913E+11
834,4,16,16,512,32,fft,1124961614
760,32,4,32,32,8,lu,68388621250
761,32,4,32,32,8,ocean,24469477500
762,32,4,32,32,8,radix,8390793750
763,32,4,32,32,8,raytrace,596551250
764,32,4,4,32,16,cholesky,1.45752E+11
841,4,16,16,512,4,fft,1124961614
766,32,4,4,32,16,lu,50701764872
767,32,4,4,32,16,ocean,22830122315
768,32,4,4,32,16,radix,7619803499
769,32,4,4,32,16,raytrace,580428618
770,32,4,4,32,2,cholesky,1.41017E+11
848,4,16,16,512,8,fft,1124961614
772,32,4,4,32,2,lu,50433728345
773,32,4,4,32,2,ocean,23052600065
774,32,4,4,32,2,radix,7661914843
775,32,4,4,32,2,raytrace,580428618
776,32,4,4,32,32,cholesky,1.4746E+11
777,32,4,4,32,32,lu,50739290008
778,32,4,4,32,32,ocean,22805619210
779,32,4,4,32,32,radix,7640280340
780,32,4,4,32,32,raytrace,586363580
781,32,4,4,32,4,cholesky,1.41947E+11
925,4,16,4,512,16,fft,1125430041
783,32,4,4,32,4,lu,50589692747
784,32,4,4,32,4,ocean,23031556614
785,32,4,4,32,4,radix,7636305182
786,32,4,4,32,4,raytrace,580428618
787,32,4,4,32,8,cholesky,1.42859E+11
788,32,4,4,32,8,lu,50656671604
789,32,4,4,32,8,radix,7615733906
790,32,4,8,32,16,cholesky,1.52489E+11
932,4,16,4,512,2,fft,1125430041
792,32,4,8,32,16,lu,56802223750
793,32,4,8,32,16,ocean,24272251250
794,32,4,8,32,16,radix,8398272500
795,32,4,8,32,16,raytrace,596300000
796,32,4,8,32,2,cholesky,1.46949E+11
939,4,16,4,512,32,fft,1125430041
798,32,4,8,32,2,lu,56567852500
799,32,4,8,32,2,ocean,24521995000
800,32,4,8,32,2,radix,8415568750
801,32,4,8,32,2,raytrace,596300000
802,32,4,8,32,32,cholesky,1.52901E+11
946,4,16,4,512,4,fft,1125430041
804,32,4,8,32,32,lu,56792133750
805,32,4,8,32,32,ocean,24199821250
806,32,4,8,32,32,radix,8398458750
807,32,4,8,32,32,raytrace,596300000
808,32,4,8,32,4,cholesky,1.47951E+11
809,32,4,8,32,4,lu,56724297500
810,32,4,8,32,4,ocean,24517015000
811,32,4,8,32,4,radix,8395040000
812,32,4,8,32,4,raytrace,596300000
813,32,4,8,32,8,cholesky,1.49417E+11
953,4,16,4,512,8,fft,1125430041
815,32,4,8,32,8,lu,56777958750
816,32,4,8,32,8,ocean,24495338750
817,32,4,8,32,8,radix,8394152500
818,32,4,8,32,8,raytrace,596300000
819,4,16,16,512,16,cholesky,1.69974E+11
855,4,16,2,512,16,fft,1126451912
821,4,16,16,512,16,fmm,26185983439
822,4,16,16,512,16,lu,79660347217
823,4,16,16,512,16,ocean,24861449629
824,4,16,16,512,16,radix,38115071490
825,4,16,16,512,16,raytrace,642791866
826,4,16,16,512,2,cholesky,1.48696E+11
862,4,16,2,512,2,fft,1126451912
828,4,16,16,512,2,fmm,26302216870
829,4,16,16,512,2,lu,79170639295
830,4,16,16,512,2,ocean,25248135284
831,4,16,16,512,2,radix,37974771769
832,4,16,16,512,2,raytrace,642791866
833,4,16,16,512,32,cholesky,1.69932E+11
869,4,16,2,512,32,fft,1126451912
835,4,16,16,512,32,fmm,26202468383
836,4,16,16,512,32,lu,80375195158
837,4,16,16,512,32,ocean,24870313068
838,4,16,16,512,32,radix,38141456766
839,4,16,16,512,32,raytrace,642791866
840,4,16,16,512,4,cholesky,1.55009E+11
876,4,16,2,512,4,fft,1126451912
842,4,16,16,512,4,fmm,26216405420
843,4,16,16,512,4,lu,79104324368
844,4,16,16,512,4,ocean,25258982453
845,4,16,16,512,4,radix,38003719224
846,4,16,16,512,4,raytrace,642791866
847,4,16,16,512,8,cholesky,1.63827E+11
883,4,16,2,512,8,fft,1126451912
849,4,16,16,512,8,fmm,26182643866
850,4,16,16,512,8,lu,79294280685
851,4,16,16,512,8,ocean,24829238188
852,4,16,16,512,8,radix,38061727490
853,4,16,16,512,8,raytrace,642791866
854,4,16,2,512,16,cholesky,1.7021E+11
1205,8,16,2,128,16,fft,1197864525
856,4,16,2,512,16,fmm,23227855000
857,4,16,2,512,16,lu,79745152508
858,4,16,2,512,16,ocean,24925397416
859,4,16,2,512,16,radix,38136045684
860,4,16,2,512,16,raytrace,644443863
861,4,16,2,512,2,cholesky,1.49125E+11
1219,8,16,2,128,32,fft,1197864525
863,4,16,2,512,2,fmm,23314836250
864,4,16,2,512,2,lu,79248494863
865,4,16,2,512,2,ocean,25297675190
866,4,16,2,512,2,radix,37996677816
867,4,16,2,512,2,raytrace,644443863
868,4,16,2,512,32,cholesky,1.70265E+11
1233,8,16,2,128,8,fft,1197864525
870,4,16,2,512,32,fmm,23224270000
871,4,16,2,512,32,lu,80461360721
872,4,16,2,512,32,ocean,24935836170
873,4,16,2,512,32,radix,38154796100
874,4,16,2,512,32,raytrace,644443863
875,4,16,2,512,4,cholesky,1.55437E+11
1247,8,16,32,128,2,fft,1209578534
877,4,16,2,512,4,fmm,23232465000
878,4,16,2,512,4,lu,79178650897
879,4,16,2,512,4,ocean,25313751738
880,4,16,2,512,4,radix,38025301873
881,4,16,2,512,4,raytrace,644443863
882,4,16,2,512,8,cholesky,1.643E+11
1226,8,16,2,128,4,fft,1212785842
884,4,16,2,512,8,fmm,23227740000
885,4,16,2,512,8,lu,79383741907
886,4,16,2,512,8,ocean,24888239986
887,4,16,2,512,8,radix,38083508512
888,4,16,2,512,8,raytrace,644443863
889,4,16,32,512,16,cholesky,1.69983E+11
1170,8,16,16,128,16,fft,1217200058
891,4,16,32,512,16,fmm,26194327370
892,4,16,32,512,16,lu,79586140712
893,4,16,32,512,16,ocean,24886146234
894,4,16,32,512,16,radix,38113182779
895,4,16,32,512,16,raytrace,642798534
896,4,16,32,512,2,cholesky,1.48742E+11
1184,8,16,16,128,32,fft,1217200058
898,4,16,32,512,2,fmm,26255961569
899,4,16,32,512,2,lu,79166341769
900,4,16,32,512,2,ocean,25268309318
901,4,16,32,512,2,radix,37973623206
902,4,16,32,512,2,raytrace,642798534
903,4,16,32,512,32,cholesky,1.70065E+11
1198,8,16,16,128,8,fft,1217200058
905,4,16,32,512,32,fmm,26191379343
906,4,16,32,512,32,lu,80218900572
907,4,16,32,512,32,ocean,24897605192
908,4,16,32,512,32,radix,38136787499
909,4,16,32,512,32,raytrace,642798534
910,4,16,32,512,4,cholesky,1.55052E+11
108,16,4,4,128,2,fft,1218155950
912,4,16,32,512,4,fmm,26206838265
913,4,16,32,512,4,lu,79087427656
914,4,16,32,512,4,ocean,25280446745
915,4,16,32,512,4,radix,38003227459
916,4,16,32,512,4,raytrace,642798534
917,4,16,32,512,8,cholesky,1.63883E+11
1240,8,16,32,128,16,fft,1227145380
919,4,16,32,512,8,fmm,26188731406
920,4,16,32,512,8,lu,79257498330
921,4,16,32,512,8,ocean,24849208848
922,4,16,32,512,8,radix,38059170312
923,4,16,32,512,8,raytrace,642798534
924,4,16,4,512,16,cholesky,1.69932E+11
1254,8,16,32,128,32,fft,1227145380
926,4,16,4,512,16,fmm,26219407749
927,4,16,4,512,16,lu,79667535321
928,4,16,4,512,16,ocean,24768936130
929,4,16,4,512,16,radix,38121142704
930,4,16,4,512,16,raytrace,642970235
931,4,16,4,512,2,cholesky,1.48748E+11
1268,8,16,32,128,8,fft,1227145380
933,4,16,4,512,2,fmm,26297188219
934,4,16,4,512,2,lu,79170524272
935,4,16,4,512,2,ocean,25147453485
936,4,16,4,512,2,radix,37980912997
937,4,16,4,512,2,raytrace,642970235
938,4,16,4,512,32,cholesky,1.69937E+11
1261,8,16,32,128,4,fft,1227828850
940,4,16,4,512,32,fmm,26220455206
941,4,16,4,512,32,lu,80372106207
942,4,16,4,512,32,ocean,24782952266
943,4,16,4,512,32,radix,38146679477
944,4,16,4,512,32,raytrace,642970235
945,4,16,4,512,4,cholesky,1.55019E+11
1191,8,16,16,128,4,fft,1228317281
947,4,16,4,512,4,fmm,26243749335
948,4,16,4,512,4,lu,79103032443
949,4,16,4,512,4,ocean,25164430213
950,4,16,4,512,4,radix,38010025485
951,4,16,4,512,4,raytrace,642970235
952,4,16,4,512,8,cholesky,1.63881E+11
1310,8,16,8,128,16,fft,1228599004
954,4,16,4,512,8,fmm,26217895867
955,4,16,4,512,8,lu,79295477591
956,4,16,4,512,8,ocean,24737224789
957,4,16,4,512,8,radix,38067025216
958,4,16,4,512,8,raytrace,642970235
959,4,16,8,512,16,cholesky,1.69839E+11
1324,8,16,8,128,32,fft,1228599004
961,4,16,8,512,16,fmm,26198281413
962,4,16,8,512,16,lu,79660337215
963,4,16,8,512,16,ocean,24821730020
964,4,16,8,512,16,radix,38114604730
965,4,16,8,512,16,raytrace,643226953
966,4,16,8,512,2,cholesky,1.48695E+11
1338,8,16,8,128,8,fft,1228599004
968,4,16,8,512,2,fmm,26294901819
969,4,16,8,512,2,lu,79169474062
970,4,16,8,512,2,ocean,25207323790
971,4,16,8,512,2,radix,37975816978
972,4,16,8,512,2,raytrace,643226953
973,4,16,8,512,32,cholesky,1.69903E+11
1317,8,16,8,128,2,fft,1229390829
975,4,16,8,512,32,fmm,26184950272
976,4,16,8,512,32,lu,80373413135
977,4,16,8,512,32,ocean,24835787831
978,4,16,8,512,32,radix,38138296134
979,4,16,8,512,32,raytrace,643226953
980,4,16,8,512,4,cholesky,1.55042E+11
101,16,4,4,128,16,fft,1229492594
982,4,16,8,512,4,fmm,26205596464
983,4,16,8,512,4,lu,79101420454
984,4,16,8,512,4,ocean,25221549968
985,4,16,8,512,4,radix,38005617937
986,4,16,8,512,4,raytrace,643226953
987,4,16,8,512,8,cholesky,1.63848E+11
115,16,4,4,128,32,fft,1229492594
989,4,16,8,512,8,fmm,26213948969
990,4,16,8,512,8,lu,79291851866
991,4,16,8,512,8,ocean,24794469569
992,4,16,8,512,8,radix,38062039219
993,4,16,8,512,8,raytrace,643226953
994,4,32,16,256,16,cholesky,1.77908E+11
122,16,4,4,128,4,fft,1229492594
996,4,32,16,256,16,fmm,30430054794
997,4,32,16,256,16,lu,91616156234
998,4,32,16,256,16,ocean,27696911608
999,4,32,16,256,16,radix,39355254477
1000,4,32,16,256,16,raytrace,642385118
1001,4,32,16,256,2,cholesky,1.75386E+11
129,16,4,4,128,8,fft,1229492594
1003,4,32,16,256,2,fmm,30868894211
1004,4,32,16,256,2,lu,91954045465
1005,4,32,16,256,2,ocean,30574335311
1006,4,32,16,256,2,radix,39244520668
1007,4,32,16,256,2,raytrace,642385118
1008,4,32,16,256,32,cholesky,1.77915E+11
1331,8,16,8,128,4,fft,1229937605
1010,4,32,16,256,32,fmm,30383148748
1011,4,32,16,256,32,lu,91741936385
1012,4,32,16,256,32,ocean,27697676761
1013,4,32,16,256,32,radix,39359316956
1014,4,32,16,256,32,raytrace,642385118
1015,4,32,16,256,4,cholesky,1.75781E+11
1275,8,16,4,128,16,fft,1231712960
1017,4,32,16,256,4,fmm,30456360054
1018,4,32,16,256,4,lu,91008406375
1019,4,32,16,256,4,ocean,28728762937
1020,4,32,16,256,4,radix,39234408646
1021,4,32,16,256,4,raytrace,642385118
1022,4,32,16,256,8,cholesky,1.76454E+11
1289,8,16,4,128,32,fft,1231712960
1024,4,32,16,256,8,fmm,30445487880
1025,4,32,16,256,8,lu,91675746483
1026,4,32,16,256,8,ocean,27661856265
1027,4,32,16,256,8,radix,39334935414
1028,4,32,16,256,8,raytrace,642385118
1029,4,32,2,256,16,cholesky,1.78433E+11
1303,8,16,4,128,8,fft,1231712960
1031,4,32,2,256,16,fmm,23215820000
1032,4,32,2,256,16,lu,91635038343
1033,4,32,2,256,16,ocean,26538573320
1034,4,32,2,256,16,radix,39372632952
1035,4,32,2,256,16,raytrace,643456999
1036,4,32,2,256,2,cholesky,1.75891E+11
1296,8,16,4,128,4,fft,1232381427
1038,4,32,2,256,2,fmm,23708838750
1039,4,32,2,256,2,lu,91829435548
1040,4,32,2,256,2,ocean,29329606415
1041,4,32,2,256,2,radix,39273439784
1042,4,32,2,256,2,raytrace,643456999
1043,4,32,2,256,32,cholesky,1.78107E+11
1212,8,16,2,128,2,fft,1234565197
1045,4,32,2,256,32,fmm,23169287500
1046,4,32,2,256,32,lu,91792298122
1047,4,32,2,256,32,ocean,26554974933
1048,4,32,2,256,32,radix,39362489257
1049,4,32,2,256,32,raytrace,643456999
1050,4,32,2,256,4,cholesky,1.76093E+11
1282,8,16,4,128,2,fft,1235290342
1052,4,32,2,256,4,fmm,23226773750
1053,4,32,2,256,4,lu,91057751242
1054,4,32,2,256,4,ocean,27736922942
1055,4,32,2,256,4,radix,39262514266
1056,4,32,2,256,4,raytrace,643456999
1057,4,32,2,256,8,cholesky,1.76786E+11
53,16,4,2,128,4,fft,1237404025
1059,4,32,2,256,8,fmm,23199680000
1060,4,32,2,256,8,lu,91541756357
1061,4,32,2,256,8,ocean,26465933795
1062,4,32,2,256,8,radix,39353502460
1063,4,32,2,256,8,raytrace,643456999
1064,4,32,32,256,16,cholesky,1.77915E+11
1177,8,16,16,128,2,fft,1240446373
1066,4,32,32,256,16,fmm,30438751533
1067,4,32,32,256,16,lu,91610873511
1068,4,32,32,256,16,ocean,27697853463
1069,4,32,32,256,16,radix,39354295952
1070,4,32,32,256,16,raytrace,642173409
1071,4,32,32,256,2,cholesky,1.75366E+11
66,16,4,32,128,16,fft,1263277500
1073,4,32,32,256,2,fmm,30880854936
1074,4,32,32,256,2,lu,91944528562
1075,4,32,32,256,2,ocean,30568834211
1076,4,32,32,256,2,radix,39244168931
1077,4,32,32,256,2,raytrace,642173409
1078,4,32,32,256,32,cholesky,1.77856E+11
80,16,4,32,128,32,fft,1263277500
1080,4,32,32,256,32,fmm,30406416734
1081,4,32,32,256,32,lu,91738087282
1082,4,32,32,256,32,ocean,27709704166
1083,4,32,32,256,32,radix,39358176728
1084,4,32,32,256,32,raytrace,642173409
1085,4,32,32,256,4,cholesky,1.75761E+11
87,16,4,32,128,4,fft,1263277500
1087,4,32,32,256,4,fmm,30484577363
1088,4,32,32,256,4,lu,91003245343
1089,4,32,32,256,4,ocean,28715411934
1090,4,32,32,256,4,radix,39236450721
1091,4,32,32,256,4,raytrace,642173409
1092,4,32,32,256,8,cholesky,1.76543E+11
94,16,4,32,128,8,fft,1263277500
1094,4,32,32,256,8,fmm,30448450139
1095,4,32,32,256,8,lu,91672495833
1096,4,32,32,256,8,ocean,27656753578
1097,4,32,32,256,8,radix,39334156925
1098,4,32,32,256,8,raytrace,642173409
1099,4,32,4,256,16,cholesky,1.77976E+11
73,16,4,32,128,2,fft,1264210000
1101,4,32,4,256,16,fmm,23200540000
1102,4,32,4,256,16,lu,91619623594
1103,4,32,4,256,16,ocean,27520663032
1104,4,32,4,256,16,radix,39357336560
1105,4,32,4,256,16,raytrace,642495140
1106,4,32,4,256,2,cholesky,1.75514E+11
1,16,4,16,128,16,fft,1267397500
1108,4,32,4,256,2,fmm,23694268750
1109,4,32,4,256,2,lu,91976298248
1110,4,32,4,256,2,ocean,30281555100
1111,4,32,4,256,2,radix,39251100317
1112,4,32,4,256,2,raytrace,642495140
1113,4,32,4,256,32,cholesky,1.77861E+11
15,16,4,16,128,32,fft,1267397500
1115,4,32,4,256,32,fmm,23142107500
1116,4,32,4,256,32,lu,91742241446
1117,4,32,4,256,32,ocean,27522723444
1118,4,32,4,256,32,radix,39358436780
1119,4,32,4,256,32,raytrace,642495140
1120,4,32,4,256,4,cholesky,1.75849E+11
22,16,4,16,128,4,fft,1267397500
1122,4,32,4,256,4,fmm,23221803750
1123,4,32,4,256,4,lu,90988007296
1124,4,32,4,256,4,ocean,28642884098
1125,4,32,4,256,4,radix,39239594683
1126,4,32,4,256,4,raytrace,642495140
1127,4,32,4,256,8,cholesky,1.76445E+11
28,16,4,16,128,8,fft,1267397500
1129,4,32,4,256,8,fmm,23191250000
1130,4,32,4,256,8,lu,91683222978
1131,4,32,4,256,8,ocean,27475794060
1132,4,32,4,256,8,radix,39338662826
1133,4,32,4,256,8,raytrace,642495140
1134,4,32,8,256,16,cholesky,1.78041E+11
8,16,4,16,128,2,fft,1271041250
1136,4,32,8,256,16,fmm,26305855104
1137,4,32,8,256,16,lu,91613760755
1138,4,32,8,256,16,ocean,27663623285
1139,4,32,8,256,16,radix,39356669760
1140,4,32,8,256,16,raytrace,642288432
1141,4,32,8,256,2,cholesky,1.75414E+11
143,16,4,8,128,2,fft,1279163750
1143,4,32,8,256,2,fmm,26775544540
1144,4,32,8,256,2,lu,91933639718
1145,4,32,8,256,2,ocean,30499251964
1146,4,32,8,256,2,radix,39248033037
1147,4,32,8,256,2,raytrace,642288432
1148,4,32,8,256,32,cholesky,1.77876E+11
205,16,8,2,64,16,fft,1279318750
1150,4,32,8,256,32,fmm,26267587913
1151,4,32,8,256,32,lu,91739447554
1152,4,32,8,256,32,ocean,27672798453
1153,4,32,8,256,32,radix,39356889804
1154,4,32,8,256,32,raytrace,642288432
1155,4,32,8,256,4,cholesky,1.7587E+11
136,16,4,8,128,16,fft,1282882500
1157,4,32,8,256,4,fmm,26335844098
1158,4,32,8,256,4,lu,91001106582
1159,4,32,8,256,4,ocean,28870577961
1160,4,32,8,256,4,radix,39238109386
1161,4,32,8,256,4,raytrace,642288432
1162,4,32,8,256,8,cholesky,1.76413E+11
150,16,4,8,128,32,fft,1282882500
1164,4,32,8,256,8,fmm,26315536579
1165,4,32,8,256,8,lu,91676044876
1166,4,32,8,256,8,ocean,27625790720
1167,4,32,8,256,8,radix,39339341295
1168,4,32,8,256,8,raytrace,642288432
1169,8,16,16,128,16,cholesky,1.60269E+11
157,16,4,8,128,4,fft,1282882500
1171,8,16,16,128,16,fmm,16833041255
1172,8,16,16,128,16,lu,75092183767
1173,8,16,16,128,16,ocean,22552167865
1174,8,16,16,128,16,radix,20627254626
1175,8,16,16,128,16,raytrace,642858546
1176,8,16,16,128,2,cholesky,1.57828E+11
164,16,4,8,128,8,fft,1282882500
1178,8,16,16,128,2,fmm,17211354715
1179,8,16,16,128,2,lu,76330216324
1180,8,16,16,128,2,ocean,22400295830
1181,8,16,16,128,2,radix,20608584226
1182,8,16,16,128,2,raytrace,642858546
1183,8,16,16,128,32,cholesky,1.6033E+11
306,16,8,8,64,32,fft,1287350000
1185,8,16,16,128,32,fmm,16803913948
1186,8,16,16,128,32,lu,75093749080
1187,8,16,16,128,32,ocean,22159397660
1188,8,16,16,128,32,radix,20537183282
1189,8,16,16,128,32,raytrace,642858546
1190,8,16,16,128,4,cholesky,1.58224E+11
313,16,8,8,64,4,fft,1300243750
1192,8,16,16,128,4,fmm,16871262718
1193,8,16,16,128,4,lu,75217732205
1194,8,16,16,128,4,ocean,22451387713
1195,8,16,16,128,4,radix,20582092262
1196,8,16,16,128,4,raytrace,642858546
1197,8,16,16,128,8,cholesky,1.59008E+11
293,16,8,8,64,16,fft,1301987500
1199,8,16,16,128,8,fmm,16840004772
1200,8,16,16,128,8,lu,75000352071
1201,8,16,16,128,8,ocean,22550149128
1202,8,16,16,128,8,radix,20577164610
1203,8,16,16,128,8,raytrace,642858546
1204,8,16,2,128,16,cholesky,1.60342E+11
320,16,8,8,64,8,fft,1303917500
1206,8,16,2,128,16,fmm,14980703750
1207,8,16,2,128,16,lu,75149938649
1208,8,16,2,128,16,ocean,21556157036
1209,8,16,2,128,16,radix,20665205548
1210,8,16,2,128,16,raytrace,644595560
1211,8,16,2,128,2,cholesky,1.5802E+11
213,16,8,2,64,32,fft,1308052500
1213,8,16,2,128,2,fmm,15288316250
1214,8,16,2,128,2,lu,76391950335
1215,8,16,2,128,2,ocean,21392387622
1216,8,16,2,128,2,radix,20659956165
1217,8,16,2,128,2,raytrace,644595560
1218,8,16,2,128,32,cholesky,1.60479E+11
273,16,8,4,64,32,fft,1308395000
1220,8,16,2,128,32,fmm,15004766250
1221,8,16,2,128,32,lu,75149305189
1222,8,16,2,128,32,ocean,21172940408
1223,8,16,2,128,32,radix,20572693716
1224,8,16,2,128,32,raytrace,644595560
1225,8,16,2,128,4,cholesky,1.5839E+11
259,16,8,4,64,16,fft,1318595000
1227,8,16,2,128,4,fmm,15019160000
1228,8,16,2,128,4,lu,75187494492
1229,8,16,2,128,4,ocean,21451924527
1230,8,16,2,128,4,radix,20617374317
1231,8,16,2,128,4,raytrace,644595560
1232,8,16,2,128,8,cholesky,1.5911E+11
266,16,8,4,64,2,fft,1322590000
1234,8,16,2,128,8,fmm,14989751250
1235,8,16,2,128,8,lu,75057381808
1236,8,16,2,128,8,ocean,21522043548
1237,8,16,2,128,8,radix,20610798002
1238,8,16,2,128,8,raytrace,644595560
1239,8,16,32,128,16,cholesky,1.60303E+11
286,16,8,4,64,8,fft,1323537500
1241,8,16,32,128,16,fmm,16831846611
1242,8,16,32,128,16,lu,75091895376
1243,8,16,32,128,16,ocean,22551764451
1244,8,16,32,128,16,radix,20629104996
1245,8,16,32,128,16,raytrace,642791866
1246,8,16,32,128,2,cholesky,1.57831E+11
192,16,8,16,64,4,fft,1337418248
1248,8,16,32,128,2,fmm,17221360573
1249,8,16,32,128,2,lu,76289333149
1250,8,16,32,128,2,ocean,22412339905
1251,8,16,32,128,2,radix,20609921160
1252,8,16,32,128,2,raytrace,642791866
1253,8,16,32,128,32,cholesky,1.60384E+11
178,16,8,16,64,2,fft,1339417419
1255,8,16,32,128,32,fmm,16799619803
1256,8,16,32,128,32,lu,75094192502
1257,8,16,32,128,32,ocean,22176727792
1258,8,16,32,128,32,radix,20535569626
1259,8,16,32,128,32,raytrace,642791866
1260,8,16,32,128,4,cholesky,1.58281E+11
185,16,8,16,64,32,fft,1348420119
1262,8,16,32,128,4,fmm,16875382525
1263,8,16,32,128,4,lu,75184808955
1264,8,16,32,128,4,ocean,22462074850
1265,8,16,32,128,4,radix,20588306838
1266,8,16,32,128,4,raytrace,642791866
1267,8,16,32,128,8,cholesky,1.59034E+11
171,16,8,16,64,16,fft,1350316402
1269,8,16,32,128,8,fmm,16843848782
1270,8,16,32,128,8,lu,75003249317
1271,8,16,32,128,8,ocean,22556622089
1272,8,16,32,128,8,radix,20579518414
1273,8,16,32,128,8,raytrace,642791866
1274,8,16,4,128,16,cholesky,1.60251E+11
245,16,8,32,64,4,fft,1365883928
1276,8,16,4,128,16,fmm,16840676402
1277,8,16,4,128,16,lu,75092973925
1278,8,16,4,128,16,ocean,22248135404
